T,P,mu,nu,beta,H,Pr
# C,kN/m^2,cP,m^2/s,1/kK,kJ/kg,.
0.01,0.6,1.78,1.792,-0.07,0,13.67
5,0.9,1.52,,0.16,21,
10,1.2,1.31,1.304,0.088,41.9,9.47
15,1.7,1.14,,0.151,62.9,
20,2.3,1,1.004,0.207,83.8,7.01
25,3.2,0.89,,0.257,104.8,
30,4.3,0.798,0.801,0.303,125.7,5.43
35,5.6,0.719,,0.345,146.7,
40,7.7,0.653,0.658,0.385,167.6,4.34
45,9.6,0.596,,0.42,188.6,
50,12.5,0.547,0.553,0.457,209.6,3.56
55,15.7,0.504,,0.486,230.5,
60,20,0.467,0.474,0.523,251.5,2.99
65,25,0.434,,0.544,272.4,
70,31.3,0.404,0.413,0.585,293.4,2.56
75,38.6,0.378,,0.596,314.3,
80,47.5,0.355,0.365,0.643,335.3,2.23
85,57.8,0.334,,0.644,356.2,
90,70,0.314,0.326,0.665,377.2,1.96
95,84.5,0.297,,0.687,398.1,
100,101.33,0.281,0.295,0.752,419.1,1.75
105,121,0.267,,,440.2,
110,143,0.253,,,461.3,
115,169,0.241,,,482.5,
120,199,0.23,0.249,0.86,503.7,1.45
125,228,0.221,,,524.3,
130,270,0.212,,,546.3,
135,313,0.204,,,567.7,
140,361,0.196,0.215,0.975,588.7,1.25
145,416,0.19,,,610,
150,477,0.185,,,631.8,
155,543,0.18,,,653.8,
160,618,0.174,0.189,1.098,674.5,1.09
165,701,0.169,,,697.3,
170,792,0.163,,,718.1,
175,890,0.158,,,739.8,
180,1000,0.153,0.17,1.233,763.1,0.98
185,1120,0.149,,,785.3,
190,1260,0.145,,,807.5,
195,1400,0.141,,,829.9,
200,1550,0.138,0.158,1.392,851.7,0.92
220,,,0.149,1.597,,0.88
225,2550,0.121,,,966.8,
240,,,0.142,1.862,,0.87
250,3990,0.11,,,1087,
260,,,0.137,2.21,,0.87
275,5950,0.0972,,,1211,
300,8600,0.0897,,,1345,
325,12130,0.079,,,1494,
350,16540,0.0648,,,1672,
360,18680,0.0582,,,1764,
